"Population by Mother tongue","Number"
"Bangla",""
"Female","3"
"Male","9"
"Bhojpuri",""
"Female","31"
"Male","56"
"Doteli",""
"Female","14"
"Male","10"
"Gurung",""
"Female","545"
"Male","417"
"Hindi",""
"Female","11"
"Male","11"
"Magar",""
"Female","2827"
"Male","2329"
"Maithili",""
"Female","23"
"Male","49"
"Nepali",""
"Female","123365"
"Male","94802"
"Newar",""
"Female","778"
"Male","690"
"Not Reported",""
"Female","32"
"Male","28"
"Others",""
"Female","71"
"Male","110"
"Tamang",""
"Female","162"
"Male","141"
"Tharu",""
"Female","57"
"Male","124"
"Urdu",""
"Female","52"
"Male","49"
