"Agricultural land use area","Hectare"
"Area under arable land","18853.13"
"Area under meadows and pasture","339.66"
"Area under permanent crops","4561.73"
"Area under Temporary crops","18022.68"
"Area under temporary fallow","565.49"
"Area under temporary meadows","264.96"
"Other land","1260.50"
"Ponds","1.79"
"Woodland and forest","794.96"
