"Industries Employment","Number"
"Accommodation,  food",""
"Female","1060"
"Male","1748"
"Administrative, support service",""
"Female","4"
"Male","145"
"Agriculture, forestry and  fishing",""
"Female","178"
"Male","708"
"Arts, entertainment, recreation",""
"Female","1"
"Male","16"
"Construction",""
"Female","1"
"Male","8"
"Education",""
"Female","2526"
"Male","4125"
"Electricity, gas and water",""
"Female","0"
"Male","1"
"Financial intermediation and insurance",""
"Female","880"
"Male","1458"
"Health, social work",""
"Female","383"
"Male","602"
"Information and communication",""
"Female","24"
"Male","111"
"Manufacturing",""
"Female","1403"
"Male","6064"
"Other service activities",""
"Female","333"
"Male","1349"
"Professional, scientific, techniqual activity",""
"Female","18"
"Male","113"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","8"
"Male","61"
"Water supply, wet management",""
"Female","5"
"Male","47"
"Wholesale, retail trade",""
"Female","3902"
"Male","11340"
