"Number of households by type of outer wall","Number"
"BambooWall","1859"
"Cement Bonded Bricks/Stone Wall","866"
"Mud Bonded Bricks/Stone Wall","2716"
"Not Stated about Wall","146"
"Other Type Wall","111"
"Unbaked Bricks","52"
"Wood/Planks","84"
"Total","5834"
