"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1058"
"Male","877"
"","1935"
"Chhetri",""
"Female","5078"
"Male","4434"
"","9512"
"Dalit Others",""
"Female","459"
"Male","449"
"","908"
"Damai/Dholi",""
"Female","31"
"Male","35"
"","66"
"Kami",""
"Female","646"
"Male","582"
"","1228"
"Lohar",""
"Female","153"
"Male","158"
"","311"
"Magar",""
"Female","6"
"Male","6"
"","12"
"Newar",""
"Female","8"
"Male","8"
"","16"
"Others",""
"Female","24"
"Male","29"
"","53"
"Pahari",""
"Female","16"
"Male","21"
"","37"
"Sanyasi/Dasnami",""
"Female","158"
"Male","114"
"","272"
"Thakuri",""
"Female","705"
"Male","526"
"","1231"
