"Agricultural land use area","Hectare"
"Area under arable land","5853.77"
"Area under meadows and pasture","40.09"
"Area under permanent crops","123.93"
"Area under Temporary crops","5646.12"
"Area under temporary fallow","177.04"
"Area under temporary meadows","30.60"
"Other land","185.71"
"Ponds","0.00"
"Woodland and forest","15.14"
