"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","5"
"Cow Dung","0"
"Electricity","0"
"Kerosene","2"
"LP Gas","4"
"Not stated","109"
"Others","0"
"Wood/Firewood","9480"
"Total","9600"
