"Number of households by type of outer wall","Number"
"BambooWall","5985"
"Cement Bonded Bricks/Stone Wall","1384"
"Mud Bonded Bricks/Stone Wall","135"
"Not Stated about Wall","103"
"Other Type Wall","3"
"Unbaked Bricks","8"
"Wood/Planks","75"
"Total","7693"
