"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2"
"Male","33"
"Chhetri",""
"Female","1"
"Male","10"
"Damai/Dholi",""
"Female","13"
"Male","19"
"Ghale",""
"Female","74"
"Male","62"
"Gurung",""
"Female","669"
"Male","639"
"Kami",""
"Female","26"
"Male","33"
"Magar",""
"Female","16"
"Male","7"
"Newar",""
"Female","10"
"Male","15"
"Others",""
"Female","5"
"Male","8"
"Rai",""
"Female","5"
"Male","7"
"Tamang",""
"Female","148"
"Male","101"
"Thakali",""
"Female","14"
"Male","21"
