"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2478"
"Male","2240"
"","4718"
"Chhetri",""
"Female","1909"
"Male","1819"
"","3728"
"Dalit Others",""
"Female","11"
"Male","16"
"","27"
"Damai/Dholi",""
"Female","349"
"Male","298"
"","647"
"Danuwar",""
"Female","143"
"Male","131"
"","274"
"Gharti/Bhujel",""
"Female","400"
"Male","391"
"","791"
"Gurung",""
"Female","32"
"Male","32"
"","64"
"Kamar",""
"Female","38"
"Male","42"
"","80"
"Kami",""
"Female","675"
"Male","648"
"","1323"
"Magar",""
"Female","1701"
"Male","1432"
"","3133"
"Majhi",""
"Female","43"
"Male","57"
"","100"
"Musalman",""
"Female","37"
"Male","88"
"","125"
"Newar",""
"Female","1069"
"Male","961"
"","2030"
"Others",""
"Female","25"
"Male","45"
"","70"
"Rai",""
"Female","31"
"Male","38"
"","69"
"Sanyasi/Dasnami",""
"Female","51"
"Male","57"
"","108"
"Sarki",""
"Female","1219"
"Male","1096"
"","2315"
"Sherpa",""
"Female","5"
"Male","16"
"","21"
"Tamang",""
"Female","2944"
"Male","2797"
"","5741"
"Thakuri",""
"Female","140"
"Male","119"
"","259"
"Tharu",""
"Female","6"
"Male","10"
"","16"
"Undefined Others",""
"Female","7"
"Male","9"
"","16"
