"Number of households by type of outer wall","Number"
"BambooWall","3640"
"Cement Bonded Bricks/Stone Wall","2075"
"Mud Bonded Bricks/Stone Wall","636"
"Not Stated about Wall","86"
"Other Type Wall","1376"
"Unbaked Bricks","28"
"Wood/Planks","816"
"Total","8657"
