"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","70"
"Cow Dung","988"
"Electricity Fuel","3"
"KeroseneFuel","71"
"LP Gas","421"
"Not Sated about Fuel","64"
"OthersFuel","8"
"Wood/FireWood","5099"
"Total","6724"
