"Population by Mother tongue","Number"
"Avadhi",""
"Female","10850"
"Male","11775"
"","22625"
"Bhojpuri",""
"Female","26"
"Male","43"
"","69"
"Doteli",""
"Female","80"
"Male","75"
"","155"
"Hindi",""
"Female","33"
"Male","31"
"","64"
"Kham",""
"Female","9"
"Male","7"
"","16"
"Magar",""
"Female","117"
"Male","95"
"","212"
"Maithili",""
"Female","376"
"Male","416"
"","792"
"Nepali",""
"Female","2568"
"Male","2472"
"","5040"
"Newar",""
"Female","47"
"Male","68"
"","115"
"Others",""
"Female","36"
"Male","28"
"","64"
"Rai",""
"Female","14"
"Male","30"
"","44"
"Tharu",""
"Female","65"
"Male","83"
"","148"
"Urdu",""
"Female","4185"
"Male","4310"
"","8495"
