"Number of households by type of outer wall","Number"
"BambooWall","5935"
"Cement Bonded Bricks/Stone Wall","3185"
"Mud Bonded Bricks/Stone Wall","208"
"Not stated","88"
"Others","65"
"Unbaked Bricks","5"
"Wood/Planks","135"
"Total","9621"
