"Industries Employment","Number"
"Accommodation,  food",""
"Female","586"
"Male","371"
"Administrative, support service",""
"Female","2"
"Male","16"
"Agriculture, forestry and  fishing",""
"Female","164"
"Male","320"
"Arts, entertainment, recreation",""
"Female","1"
"Male","9"
"Construction",""
"Female","1"
"Male","32"
"Education",""
"Female","1223"
"Male","1857"
"Electricity, gas and water",""
"Female","6"
"Male","202"
"Financial intermediation and insurance",""
"Female","143"
"Male","233"
"Health, social work",""
"Female","395"
"Male","352"
"Information and communication",""
"Female","13"
"Male","25"
"Manufacturing",""
"Female","200"
"Male","550"
"Other service activities",""
"Female","119"
"Male","241"
"Professional, scientific, techniqual activity",""
"Female","11"
"Male","15"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","30"
"Male","74"
"Water supply, wet management",""
"Female","0"
"Male","3"
"Wholesale, retail trade",""
"Female","1590"
"Male","1578"
