"Population by Five Years Age Group","Number"
"0-4",""
"Female","18744"
"Male","19465"
"10-14",""
"Female","28008"
"Male","28622"
"15-19",""
"Female","25321"
"Male","22963"
"20-24",""
"Female","21233"
"Male","17648"
"25-29",""
"Female","17410"
"Male","15763"
"30-34",""
"Female","14040"
"Male","12657"
"35-39",""
"Female","12983"
"Male","11821"
"40-44",""
"Female","11650"
"Male","11093"
"45-49",""
"Female","9550"
"Male","9634"
"50-54",""
"Female","8160"
"Male","8884"
"55-59",""
"Female","5865"
"Male","6500"
"5-9",""
"Female","24420"
"Male","25177"
"60-64",""
"Female","5117"
"Male","5320"
"65-69",""
"Female","4007"
"Male","4145"
"70-74",""
"Female","3080"
"Male","2893"
"75+",""
"Female","4205"
"Male","4099"
