"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1113"
"Male","878"
"Chhantyal/Chhantel",""
"Female","114"
"Male","90"
"Chhetri",""
"Female","1233"
"Male","1000"
"Damai/Dholi",""
"Female","370"
"Male","291"
"Gurung",""
"Female","49"
"Male","34"
"Kami",""
"Female","812"
"Male","584"
"Magar",""
"Female","2777"
"Male","2349"
"Newar",""
"Female","7"
"Male","6"
"Others",""
"Female","29"
"Male","18"
"Sarki",""
"Female","83"
"Male","63"
"Tamang",""
"Female","34"
"Male","32"
"Thakali",""
"Female","23"
"Male","20"
