"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1067"
"Male","1105"
"","2172"
"Chhetri",""
"Female","2463"
"Male","2573"
"","5036"
"Dalit Others",""
"Female","46"
"Male","50"
"","96"
"Damai/Dholi",""
"Female","162"
"Male","152"
"","314"
"Kami",""
"Female","865"
"Male","891"
"","1756"
"Kumal",""
"Female","180"
"Male","186"
"","366"
"Others",""
"Female","5"
"Male","10"
"","15"
"Sanyasi/Dasnami",""
"Female","18"
"Male","20"
"","38"
"Sarki",""
"Female","305"
"Male","316"
"","621"
"Terai Others",""
"Female","7"
"Male","6"
"","13"
"Thakuri",""
"Female","965"
"Male","951"
"","1916"
