"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1"
"Cow Dung","0"
"Electricity Fuel","0"
"KeroseneFuel","1"
"LP Gas","1"
"Not Sated about Fuel","24"
"OthersFuel","1"
"Wood/FireWood","1974"
"Total","2002"
