"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","19"
"Electricity Fuel","1"
"KeroseneFuel","0"
"LP Gas","1"
"Not Sated about Fuel","12"
"OthersFuel","2"
"Wood/FireWood","3979"
"Total","4018"
