"Population by Mother tongue","Number"
"Avadhi",""
"Female","13"
"Male","14"
"Bajjika",""
"Female","25"
"Male","70"
"Bangla",""
"Female","129"
"Male","158"
"Bhojpuri",""
"Female","89075"
"Male","100326"
"Danuwar",""
"Female","8"
"Male","6"
"Dhimal",""
"Female","7"
"Male","5"
"Doteli",""
"Female","35"
"Male","33"
"Ghale",""
"Female","31"
"Male","32"
"Gurung",""
"Female","53"
"Male","47"
"Hindi",""
"Female","666"
"Male","736"
"Limbu",""
"Female","31"
"Male","27"
"Magar",""
"Female","67"
"Male","73"
"Maithili",""
"Female","6083"
"Male","7229"
"Nepali",""
"Female","7685"
"Male","7918"
"Newar",""
"Female","1874"
"Male","1831"
"Not Reported",""
"Female","277"
"Male","366"
"Others",""
"Female","104"
"Male","83"
"Punjabi",""
"Female","70"
"Male","83"
"Rai",""
"Female","463"
"Male","512"
"Rajsthani",""
"Female","2184"
"Male","2432"
"Santhali",""
"Female","15"
"Male","17"
"Sherpa",""
"Female","55"
"Male","32"
"Sindhi",""
"Female","31"
"Male","25"
"Tamang",""
"Female","132"
"Male","126"
"Thakali",""
"Female","10"
"Male","3"
"Tharu",""
"Female","830"
"Male","942"
"Uranw/Urau",""
"Female","164"
"Male","181"
"Urdu",""
"Female","3578"
"Male","3920"
