"Population by Single Year of Age","Number"
"0",""
"Female","1657"
"Male","1799"
"1",""
"Female","1667"
"Male","1745"
"10",""
"Female","4188"
"Male","4848"
"11",""
"Female","2078"
"Male","2124"
"12",""
"Female","3487"
"Male","3995"
"13",""
"Female","2292"
"Male","2539"
"14",""
"Female","2707"
"Male","3185"
"15",""
"Female","2535"
"Male","3098"
"16",""
"Female","2738"
"Male","3448"
"17",""
"Female","1853"
"Male","2340"
"18",""
"Female","2999"
"Male","3908"
"19",""
"Female","1279"
"Male","1693"
"2",""
"Female","2693"
"Male","2748"
"20",""
"Female","3546"
"Male","4095"
"21",""
"Female","1210"
"Male","1593"
"22",""
"Female","2543"
"Male","3035"
"23",""
"Female","1615"
"Male","1741"
"24",""
"Female","1815"
"Male","2028"
"25",""
"Female","3660"
"Male","4060"
"26",""
"Female","1670"
"Male","1861"
"27",""
"Female","1253"
"Male","1550"
"28",""
"Female","2725"
"Male","2663"
"29",""
"Female","558"
"Male","846"
"3",""
"Female","2998"
"Male","3077"
"30",""
"Female","4334"
"Male","4421"
"31",""
"Female","457"
"Male","660"
"32",""
"Female","2064"
"Male","2206"
"33",""
"Female","1161"
"Male","872"
"34",""
"Female","1008"
"Male","941"
"35",""
"Female","3851"
"Male","4722"
"36",""
"Female","1091"
"Male","1246"
"37",""
"Female","688"
"Male","765"
"38",""
"Female","1807"
"Male","1602"
"39",""
"Female","345"
"Male","470"
"4",""
"Female","3022"
"Male","3226"
"40",""
"Female","3434"
"Male","4521"
"41",""
"Female","284"
"Male","415"
"42",""
"Female","1005"
"Male","1266"
"43",""
"Female","607"
"Male","485"
"44",""
"Female","476"
"Male","454"
"45",""
"Female","2619"
"Male","3328"
"46",""
"Female","504"
"Male","497"
"47",""
"Female","385"
"Male","445"
"48",""
"Female","1028"
"Male","969"
"49",""
"Female","178"
"Male","273"
"5",""
"Female","3422"
"Male","3760"
"50",""
"Female","2257"
"Male","2816"
"51",""
"Female","171"
"Male","316"
"52",""
"Female","500"
"Male","733"
"53",""
"Female","341"
"Male","344"
"54",""
"Female","246"
"Male","287"
"55",""
"Female","1746"
"Male","1976"
"56",""
"Female","268"
"Male","388"
"57",""
"Female","193"
"Male","255"
"58",""
"Female","539"
"Male","497"
"59",""
"Female","98"
"Male","142"
"6",""
"Female","3384"
"Male","3712"
"60",""
"Female","1717"
"Male","2116"
"61",""
"Female","128"
"Male","213"
"62",""
"Female","326"
"Male","381"
"63",""
"Female","136"
"Male","143"
"64",""
"Female","99"
"Male","131"
"65",""
"Female","1112"
"Male","1246"
"66",""
"Female","125"
"Male","131"
"67",""
"Female","107"
"Male","131"
"68",""
"Female","202"
"Male","327"
"69",""
"Female","33"
"Male","54"
"7",""
"Female","2986"
"Male","3115"
"70",""
"Female","752"
"Male","1023"
"71",""
"Female","42"
"Male","61"
"72",""
"Female","133"
"Male","167"
"73",""
"Female","43"
"Male","49"
"74",""
"Female","31"
"Male","46"
"75",""
"Female","307"
"Male","334"
"76",""
"Female","38"
"Male","45"
"77",""
"Female","30"
"Male","31"
"78",""
"Female","49"
"Male","77"
"79",""
"Female","9"
"Male","18"
"8",""
"Female","3866"
"Male","4436"
"80",""
"Female","177"
"Male","173"
"81",""
"Female","8"
"Male","10"
"82",""
"Female","15"
"Male","27"
"83",""
"Female","12"
"Male","9"
"84",""
"Female","15"
"Male","15"
"85",""
"Female","183"
"Male","181"
"9",""
"Female","2097"
"Male","2310"
