"Population by Five Years Age Group","Number"
"0-4",""
"Female","1688"
"Male","1856"
"10-14",""
"Female","2375"
"Male","2361"
"15-19",""
"Female","2217"
"Male","1478"
"20-24",""
"Female","1745"
"Male","666"
"25-29",""
"Female","1424"
"Male","537"
"30-34",""
"Female","1106"
"Male","464"
"35-39",""
"Female","1093"
"Male","476"
"40-44",""
"Female","954"
"Male","511"
"45-49",""
"Female","939"
"Male","560"
"50-54",""
"Female","772"
"Male","636"
"55-59",""
"Female","663"
"Male","559"
"5-9",""
"Female","2024"
"Male","2061"
"60-64",""
"Female","604"
"Male","550"
"65-69",""
"Female","444"
"Male","411"
"70-74",""
"Female","280"
"Male","371"
"75+",""
"Female","377"
"Male","438"
