"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","46"
"Male","26"
"Brahman - Hill",""
"Female","5820"
"Male","4469"
"Chhetri",""
"Female","2948"
"Male","2080"
"Damai/Dholi",""
"Female","514"
"Male","367"
"Gharti/Bhujel",""
"Female","91"
"Male","82"
"Gurung",""
"Female","86"
"Male","50"
"Kami",""
"Female","1974"
"Male","1545"
"Kathabaniyan",""
"Female","11"
"Male","8"
"Kumal",""
"Female","75"
"Male","62"
"Magar",""
"Female","4364"
"Male","3161"
"Newar",""
"Female","607"
"Male","447"
"Others",""
"Female","20"
"Male","10"
"Sanyasi/Dasnami",""
"Female","101"
"Male","84"
"Sarki",""
"Female","1923"
"Male","1449"
"Terai Others",""
"Female","22"
"Male","12"
"Thakuri",""
"Female","103"
"Male","83"
