"Population by Mother tongue","Number"
"Bahing",""
"Female","33"
"Male","26"
"","59"
"Gurung",""
"Female","101"
"Male","93"
"","194"
"Limbu",""
"Female","3879"
"Male","3655"
"","7534"
"Magar",""
"Female","1"
"Male","10"
"","11"
"Nepali",""
"Female","582"
"Male","587"
"","1169"
"Newar",""
"Female","27"
"Male","23"
"","50"
"Not Reported",""
"Female","35"
"Male","35"
"","70"
"Others",""
"Female","39"
"Male","56"
"","95"
"Rai",""
"Female","184"
"Male","179"
"","363"
"Sherpa",""
"Female","535"
"Male","505"
"","1040"
"Sunuwar",""
"Female","40"
"Male","32"
"","72"
"Tamang",""
"Female","237"
"Male","222"
"","459"
"Waling/Walung",""
"Female","444"
"Male","457"
"","901"
