"Population by Religion","Number"
"Bahai","0"
"Bon","7"
"Buddism","2709"
"Christianity","339"
"Hindu","1540"
"Islam","0"
"Jainism","0"
"Kirat","7392"
"Prakriti","2"
"Sikhism","0"
"Undefined","28"
"Total","12017"
