"Population by Caste Ethinicity","Number"
"Badi",""
"Female","8"
"Male","7"
"","15"
"Brahman - Hill",""
"Female","57"
"Male","72"
"","129"
"Chhetri",""
"Female","269"
"Male","254"
"","523"
"Damai/Dholi",""
"Female","20"
"Male","14"
"","34"
"Gharti/Bhujel",""
"Female","19"
"Male","19"
"","38"
"Gurung",""
"Female","132"
"Male","125"
"","257"
"Kami",""
"Female","94"
"Male","98"
"","192"
"Limbu",""
"Female","3924"
"Male","3702"
"","7626"
"Magar",""
"Female","1"
"Male","12"
"","13"
"Newar",""
"Female","30"
"Male","26"
"","56"
"Others",""
"Female","6"
"Male","18"
"","24"
"Rai",""
"Female","304"
"Male","291"
"","595"
"Sherpa",""
"Female","541"
"Male","514"
"","1055"
"Sunuwar",""
"Female","40"
"Male","33"
"","73"
"Tamang",""
"Female","240"
"Male","226"
"","466"
"Undefined Others",""
"Female","6"
"Male","6"
"","12"
"Walung",""
"Female","446"
"Male","463"
"","909"
