"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","3742"
"Male","2753"
"","6495"
"Chhantyal/Chhantel",""
"Female","179"
"Male","133"
"","312"
"Chhetri",""
"Female","2659"
"Male","1856"
"","4515"
"Damai/Dholi",""
"Female","786"
"Male","564"
"","1350"
"Gaine",""
"Female","4"
"Male","7"
"","11"
"Gurung",""
"Female","79"
"Male","55"
"","134"
"Kami",""
"Female","1418"
"Male","1005"
"","2423"
"Magar",""
"Female","5026"
"Male","3783"
"","8809"
"Musalman",""
"Female","6"
"Male","9"
"","15"
"Newar",""
"Female","36"
"Male","28"
"","64"
"Others",""
"Female","23"
"Male","25"
"","48"
"Sarki",""
"Female","874"
"Male","676"
"","1550"
"Thakali",""
"Female","28"
"Male","28"
"","56"
"Thakuri",""
"Female","166"
"Male","135"
"","301"
