"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","7"
"Brahman - Hill",""
"Female","4473"
"Male","3431"
"Chhantyal/Chhantel",""
"Female","176"
"Male","118"
"Chhetri",""
"Female","4458"
"Male","3267"
"Damai/Dholi",""
"Female","772"
"Male","581"
"Gaine",""
"Female","55"
"Male","54"
"Gurung",""
"Female","289"
"Male","230"
"Kami",""
"Female","2364"
"Male","1813"
"Kumal",""
"Female","1597"
"Male","1236"
"Magar",""
"Female","2324"
"Male","1794"
"Musalman",""
"Female","13"
"Male","10"
"Newar",""
"Female","312"
"Male","249"
"Others",""
"Female","26"
"Male","21"
"Sanyasi/Dasnami",""
"Female","320"
"Male","245"
"Sarki",""
"Female","988"
"Male","826"
"Tamang",""
"Female","13"
"Male","4"
"Terai Others",""
"Female","13"
"Male","8"
"Thakali",""
"Female","11"
"Male","10"
"Thakuri",""
"Female","382"
"Male","305"
