"Population by Five Years Age Group","Number"
"0-4",""
"Female","1676"
"Male","1772"
"10-14",""
"Female","2496"
"Male","2444"
"15-19",""
"Female","2154"
"Male","1499"
"20-24",""
"Female","1635"
"Male","689"
"25-29",""
"Female","1412"
"Male","578"
"30-34",""
"Female","1056"
"Male","515"
"35-39",""
"Female","1014"
"Male","495"
"40-44",""
"Female","960"
"Male","554"
"45-49",""
"Female","909"
"Male","626"
"50-54",""
"Female","846"
"Male","730"
"55-59",""
"Female","620"
"Male","531"
"5-9",""
"Female","2073"
"Male","2228"
"60-64",""
"Female","675"
"Male","551"
"65-69",""
"Female","457"
"Male","431"
"70-74",""
"Female","272"
"Male","325"
"75+",""
"Female","379"
"Male","398"
