"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","21"
"Male","36"
"Bhujel",""
"Female","11"
"Male","8"
"Danuwar",""
"Female","25"
"Male","24"
"Magar",""
"Female","1198"
"Male","1098"
"Maithili",""
"Female","9"
"Male","28"
"Majhi",""
"Female","365"
"Male","320"
"Nepali",""
"Female","3461"
"Male","3124"
"Newar",""
"Female","74"
"Male","76"
"Others",""
"Female","17"
"Male","23"
"Pahari",""
"Female","193"
"Male","161"
"Rai",""
"Female","946"
"Male","855"
"Tamang",""
"Female","9540"
"Male","8882"
