"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","267"
"Male","254"
"Brahmu/ Baramo",""
"Female","19"
"Male","18"
"Chhetri",""
"Female","316"
"Male","285"
"Damai/Dholi",""
"Female","118"
"Male","108"
"Danuwar",""
"Female","29"
"Male","26"
"Dhanuk",""
"Female","8"
"Male","6"
"Gharti/Bhujel",""
"Female","11"
"Male","8"
"Kalwar",""
"Female","6"
"Male","7"
"Kami",""
"Female","514"
"Male","472"
"Kathabaniyan",""
"Female","7"
"Male","8"
"Magar",""
"Female","2018"
"Male","1767"
"Majhi",""
"Female","756"
"Male","678"
"Newar",""
"Female","253"
"Male","238"
"Others",""
"Female","27"
"Male","53"
"Pahari",""
"Female","604"
"Male","583"
"Rai",""
"Female","1334"
"Male","1192"
"Sarki",""
"Female","16"
"Male","25"
"Sunuwar",""
"Female","4"
"Male","10"
"Tamang",""
"Female","9553"
"Male","8897"
