"Population by Five Years Age Group","Number"
"0-4",""
"Female","1616"
"Male","1567"
"10-14",""
"Female","2359"
"Male","2279"
"15-19",""
"Female","1805"
"Male","1605"
"20-24",""
"Female","1252"
"Male","1016"
"25-29",""
"Female","1171"
"Male","931"
"30-34",""
"Female","940"
"Male","761"
"35-39",""
"Female","958"
"Male","909"
"40-44",""
"Female","813"
"Male","734"
"45-49",""
"Female","625"
"Male","709"
"50-54",""
"Female","530"
"Male","526"
"55-59",""
"Female","437"
"Male","456"
"5-9",""
"Female","2260"
"Male","2197"
"60-64",""
"Female","368"
"Male","350"
"65-69",""
"Female","296"
"Male","294"
"70-74",""
"Female","188"
"Male","175"
"75+",""
"Female","242"
"Male","218"
