"Population by Five Years Age Group","Number"
"0-4",""
"Female","536"
"Male","562"
"10-14",""
"Female","957"
"Male","939"
"15-19",""
"Female","882"
"Male","823"
"20-24",""
"Female","707"
"Male","377"
"25-29",""
"Female","580"
"Male","284"
"30-34",""
"Female","475"
"Male","232"
"35-39",""
"Female","495"
"Male","226"
"40-44",""
"Female","477"
"Male","251"
"45-49",""
"Female","454"
"Male","306"
"50-54",""
"Female","430"
"Male","304"
"55-59",""
"Female","360"
"Male","296"
"5-9",""
"Female","744"
"Male","679"
"60-64",""
"Female","402"
"Male","291"
"65-69",""
"Female","290"
"Male","262"
"70-74",""
"Female","176"
"Male","199"
"75+",""
"Female","265"
"Male","265"
