"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","7"
"Male","5"
"Bote",""
"Female","12"
"Male","13"
"Brahman - Hill",""
"Female","2138"
"Male","1611"
"Chhetri",""
"Female","982"
"Male","702"
"Dalit Others",""
"Female","21"
"Male","14"
"Damai/Dholi",""
"Female","454"
"Male","334"
"Dura",""
"Female","8"
"Male","7"
"Gharti/Bhujel",""
"Female","174"
"Male","137"
"Gurung",""
"Female","1205"
"Male","922"
"Kami",""
"Female","739"
"Male","626"
"Khawas",""
"Female","22"
"Male","16"
"Kumal",""
"Female","363"
"Male","268"
"Magar",""
"Female","507"
"Male","376"
"Musalman",""
"Female","270"
"Male","215"
"Newar",""
"Female","569"
"Male","437"
"Others",""
"Female","20"
"Male","22"
"Rai",""
"Female","9"
"Male","8"
"Sanyasi/Dasnami",""
"Female","38"
"Male","32"
"Sarki",""
"Female","308"
"Male","257"
"Tamang",""
"Female","15"
"Male","14"
"Thakuri",""
"Female","369"
"Male","273"
