"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","611"
"Male","555"
"","1166"
"Chhetri",""
"Female","6783"
"Male","6118"
"","12901"
"Dalit Others",""
"Female","231"
"Male","226"
"","457"
"Damai/Dholi",""
"Female","131"
"Male","105"
"","236"
"Kami",""
"Female","1057"
"Male","943"
"","2000"
"Others",""
"Female","10"
"Male","15"
"","25"
"Sanyasi/Dasnami",""
"Female","96"
"Male","57"
"","153"
"Sarki",""
"Female","12"
"Male","14"
"","26"
"Terai Others",""
"Female","6"
"Male","6"
"","12"
"Thakuri",""
"Female","99"
"Male","79"
"","178"
