"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2"
"Cow Dung","2008"
"Electricity","0"
"Kerosene","35"
"LP Gas","8"
"Not stated","21"
"Others","255"
"Wood/Firewood","1631"
"Total","3960"
