"Population by Five Years Age Group","Number"
"0-4",""
"Female","1825"
"Male","1874"
"10-14",""
"Female","1729"
"Male","1918"
"15-19",""
"Female","984"
"Male","1214"
"20-24",""
"Female","1096"
"Male","1001"
"25-29",""
"Female","984"
"Male","1010"
"30-34",""
"Female","929"
"Male","817"
"35-39",""
"Female","797"
"Male","884"
"40-44",""
"Female","566"
"Male","660"
"45-49",""
"Female","515"
"Male","577"
"50-54",""
"Female","375"
"Male","443"
"55-59",""
"Female","367"
"Male","348"
"5-9",""
"Female","2232"
"Male","2283"
"60-64",""
"Female","371"
"Male","409"
"65-69",""
"Female","276"
"Male","320"
"70-74",""
"Female","185"
"Male","231"
"75+",""
"Female","145"
"Male","187"
