"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","13"
"Male","15"
"Brahman - Hill",""
"Female","63"
"Male","112"
"Chhetri",""
"Female","956"
"Male","762"
"Damai/Dholi",""
"Female","324"
"Male","272"
"Gaine",""
"Female","4"
"Male","8"
"Gurung",""
"Female","51"
"Male","57"
"Kami",""
"Female","601"
"Male","492"
"Magar",""
"Female","5026"
"Male","4196"
"Newar",""
"Female","13"
"Male","15"
"Others",""
"Female","22"
"Male","29"
"Rai",""
"Female","12"
"Male","13"
"Sanyasi/Dasnami",""
"Female","13"
"Male","13"
"Sarki",""
"Female","16"
"Male","16"
"Sherpa",""
"Female","5"
"Male","8"
"Tamang",""
"Female","27"
"Male","33"
"Thakali",""
"Female","71"
"Male","57"
