"Population by Five Years Age Group","Number"
"0-4",""
"Female","518"
"Male","533"
"10-14",""
"Female","714"
"Male","705"
"15-19",""
"Female","750"
"Male","671"
"20-24",""
"Female","577"
"Male","415"
"25-29",""
"Female","490"
"Male","330"
"30-34",""
"Female","423"
"Male","268"
"35-39",""
"Female","460"
"Male","320"
"40-44",""
"Female","483"
"Male","321"
"45-49",""
"Female","461"
"Male","340"
"50-54",""
"Female","382"
"Male","322"
"55-59",""
"Female","324"
"Male","327"
"5-9",""
"Female","580"
"Male","592"
"60-64",""
"Female","351"
"Male","290"
"65-69",""
"Female","223"
"Male","215"
"70-74",""
"Female","202"
"Male","171"
"75+",""
"Female","280"
"Male","299"
