"Number of households by type of outer wall","Number"
"BambooWall","1786"
"Cement Bonded Bricks/Stone Wall","12651"
"Mud Bonded Bricks/Stone Wall","41959"
"Not Stated about Wall","678"
"Other Type Wall","290"
"Unbaked Bricks","833"
"Wood/Planks","14633"
"Total","72830"
