"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","13879"
"Mud Roof","865"
"Not Sated Roof","765"
"Other Type of Roof","269"
"RCC Roof","11144"
"Thatch/Straw Roof","33285"
"Tile/Slate Roof","12378"
"Wood/Planks Roof","245"
"Total","72830"
