"Agricultural land use area","Hectare"
"Area under arable land","24198.00"
"Area under meadows and pasture","13.00"
"Area under permanent crops","785.00"
"Area under Temporary crops","23865.00"
"Area under temporary fallow","302.00"
"Area under temporary meadows","31.00"
"Other land","1725.00"
"Ponds","2.00"
"Woodland and forest","517.00"
"Total","51438.00"
