"Agricultural land use area","Hectare"
"Area under arable land","1047.51"
"Area under meadows and pasture","11.65"
"Area under permanent crops","169.02"
"Area under Temporary crops","893.21"
"Area under temporary fallow","144.84"
"Area under temporary meadows","9.47"
"Other land","96.66"
"Ponds","0.49"
"Woodland and forest","49.49"
