"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","869"
"Mud Roof","81"
"Not Sated Roof","33"
"Other Type of Roof","3"
"RCC Roof","42"
"Thatch/Straw Roof","4260"
"Tile/Slate Roof","139"
"Wood/Planks Roof","21"
"Total","5448"
