"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","28"
"Cow Dung","6301"
"Electricity Fuel","0"
"KeroseneFuel","215"
"LP Gas","43"
"Not Sated about Fuel","14"
"OthersFuel","580"
"Wood/FireWood","994"
"Total","8175"
