"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","9"
"Brahman - Hill",""
"Female","1410"
"Male","1290"
"Chhetri",""
"Female","1108"
"Male","1032"
"Dalit Others",""
"Female","23"
"Male","19"
"Damai/Dholi",""
"Female","170"
"Male","163"
"Gharti/Bhujel",""
"Female","9"
"Male","14"
"Gurung",""
"Female","171"
"Male","175"
"Kami",""
"Female","208"
"Male","181"
"Magar",""
"Female","313"
"Male","316"
"Musalman",""
"Female","9"
"Male","7"
"Newar",""
"Female","124"
"Male","129"
"Others",""
"Female","19"
"Male","12"
"Rai",""
"Female","419"
"Male","386"
"Sanyasi/Dasnami",""
"Female","401"
"Male","378"
"Sarki",""
"Female","84"
"Male","92"
"Tamang",""
"Female","4130"
"Male","3991"
