"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2"
"Cow Dung","19"
"Electricity","452"
"Kerosene","72"
"LP Gas","34"
"Not stated","3"
"Others","0"
"Wood/Firewood","1851"
"Total","2433"
