"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","11"
"Electricity Fuel","0"
"KeroseneFuel","25"
"LP Gas","27"
"Not Sated about Fuel","4"
"OthersFuel","0"
"Wood/FireWood","4482"
"Total","4557"
