"Number of households by type of outer wall","Number"
"BambooWall","8264"
"Cement Bonded Bricks/Stone Wall","1397"
"Mud Bonded Bricks/Stone Wall","157"
"Not Stated about Wall","175"
"Other Type Wall","113"
"Unbaked Bricks","22"
"Wood/Planks","945"
"Total","11073"
