"Population by Religion","Number"
"Bahai","2"
"Bon","0"
"Buddism","6639"
"Christianity","116"
"Hindu","48984"
"Islam","4083"
"Jainism","0"
"Kirat","0"
"Prakriti","38"
"Sikhism","0"
"Undefined","138"
"Total","60000"
