"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","290"
"Cow Dung","185"
"Electricity Fuel","2"
"KeroseneFuel","88"
"LP Gas","327"
"Not Sated about Fuel","138"
"OthersFuel","26"
"Wood/FireWood","10017"
"Total","11073"
