"Population by Five Years Age Group","Number"
"0-4",""
"Female","584"
"Male","598"
"10-14",""
"Female","1385"
"Male","1295"
"15-19",""
"Female","1255"
"Male","1040"
"20-24",""
"Female","709"
"Male","513"
"25-29",""
"Female","605"
"Male","425"
"30-34",""
"Female","492"
"Male","366"
"35-39",""
"Female","565"
"Male","416"
"40-44",""
"Female","558"
"Male","428"
"45-49",""
"Female","534"
"Male","445"
"50-54",""
"Female","512"
"Male","475"
"55-59",""
"Female","397"
"Male","367"
"5-9",""
"Female","967"
"Male","975"
"60-64",""
"Female","368"
"Male","313"
"65-69",""
"Female","282"
"Male","286"
"70-74",""
"Female","244"
"Male","198"
"75+",""
"Female","323"
"Male","228"
