"Population by Caste Ethinicity","Number"
"Badi",""
"Female","60"
"Male","57"
"","117"
"Brahman - Hill",""
"Female","242"
"Male","257"
"","499"
"Byasi/Sauka",""
"Female","183"
"Male","178"
"","361"
"Chhetri",""
"Female","2610"
"Male","2608"
"","5218"
"Damai/Dholi",""
"Female","133"
"Male","147"
"","280"
"Kami",""
"Female","381"
"Male","389"
"","770"
"Others",""
"Female","6"
"Male","9"
"","15"
"Sarki",""
"Female","150"
"Male","181"
"","331"
"Tamang",""
"Female","0"
"Male","13"
"","13"
"Thakuri",""
"Female","1126"
"Male","1138"
"","2264"
