"Industries Employment","Number"
"Accommodation,  food",""
"Female","1061"
"Male","1077"
"Administrative, support service",""
"Female","0"
"Male","35"
"Agriculture, forestry and  fishing",""
"Female","83"
"Male","408"
"Arts, entertainment, recreation",""
"Female","1"
"Male","2"
"Construction",""
"Female","1"
"Male","18"
"Education",""
"Female","1378"
"Male","2822"
"Electricity, gas and water",""
"Female","1"
"Male","66"
"Financial intermediation and insurance",""
"Female","78"
"Male","181"
"Health, social work",""
"Female","432"
"Male","364"
"Information and communication",""
"Female","13"
"Male","44"
"Manufacturing",""
"Female","297"
"Male","646"
"Other service activities",""
"Female","196"
"Male","414"
"Professional, scientific, techniqual activity",""
"Female","10"
"Male","49"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","29"
"Male","104"
"Water supply, wet management",""
"Female","3"
"Male","28"
"Wholesale, retail trade",""
"Female","2324"
"Male","2709"
