"Industries Types","Number"
"Accommodation and food","1124"
"Administrative and support service activity","7"
"Agriculture, forestry and fishing","273"
"Art, entertainment and recreation","2"
"Construction","10"
"Education","543"
"Electricty gas and water","7"
"Financial intermediation and insurance","84"
"Health and social work","216"
"Information and communications","9"
"Manufacturing","539"
"Mining and quarrying","0"
"Other service activities","233"
"Professional,scientific and techniqual activity","43"
"Real state, renting and business activities","0"
"Transport and storage","35"
"Water supply, wet management","7"
"Wholesale and retail trade","3176"
"Total","6308"
