"Number of households by type of outer wall","Number"
"BambooWall","4079"
"Cement Bonded Bricks/Stone Wall","4188"
"Mud Bonded Bricks/Stone Wall","165"
"Not Stated about Wall","36"
"Other Type Wall","201"
"Unbaked Bricks","3"
"Wood/Planks","754"
"Total","9426"
