"Population by Five Years Age Group","Number"
"0-4",""
"Female","1048"
"Male","1122"
"10-14",""
"Female","1632"
"Male","1603"
"15-19",""
"Female","1668"
"Male","1429"
"20-24",""
"Female","1307"
"Male","646"
"25-29",""
"Female","999"
"Male","452"
"30-34",""
"Female","846"
"Male","377"
"35-39",""
"Female","805"
"Male","434"
"40-44",""
"Female","767"
"Male","455"
"45-49",""
"Female","717"
"Male","433"
"50-54",""
"Female","671"
"Male","502"
"55-59",""
"Female","560"
"Male","485"
"5-9",""
"Female","1304"
"Male","1273"
"60-64",""
"Female","541"
"Male","434"
"65-69",""
"Female","455"
"Male","379"
"70-74",""
"Female","303"
"Male","307"
"75+",""
"Female","404"
"Male","371"
