"Number of households by type of outer wall","Number"
"BambooWall","4650"
"Cement Bonded Bricks/Stone Wall","1160"
"Mud Bonded Bricks/Stone Wall","143"
"Not stated","66"
"Others","2"
"Unbaked Bricks","7"
"Wood/Planks","60"
"Total","6088"
