"Population by Five Years Age Group","Number"
"0-4",""
"Female","1185"
"Male","1222"
"10-14",""
"Female","1752"
"Male","1731"
"15-19",""
"Female","1566"
"Male","1380"
"20-24",""
"Female","1296"
"Male","680"
"25-29",""
"Female","1127"
"Male","491"
"30-34",""
"Female","884"
"Male","417"
"35-39",""
"Female","847"
"Male","445"
"40-44",""
"Female","701"
"Male","479"
"45-49",""
"Female","657"
"Male","491"
"50-54",""
"Female","586"
"Male","492"
"55-59",""
"Female","490"
"Male","458"
"5-9",""
"Female","1446"
"Male","1569"
"60-64",""
"Female","461"
"Male","408"
"65-69",""
"Female","346"
"Male","334"
"70-74",""
"Female","260"
"Male","219"
"75+",""
"Female","297"
"Male","300"
