"Number of households by type of outer wall","Number"
"BambooWall","229"
"Cement Bonded Bricks/Stone Wall","570"
"Mud Bonded Bricks/Stone Wall","4042"
"Not stated","12"
"Others","74"
"Unbaked Bricks","8"
"Wood/Planks","131"
"Total","5066"
