"Agricultural land use area","Hectare"
"Area under arable land","41652.00"
"Area under meadows and pasture","35.00"
"Area under permanent crops","299.00"
"Area under Temporary crops","41276.00"
"Area under temporary fallow","350.00"
"Area under temporary meadows","27.00"
"Other land","2041.00"
"Ponds","32.00"
"Woodland and forest","61.00"
"Total","85773.00"
