"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","8288"
"Mud Roof","0"
"Not Sated Roof","1030"
"Other Type of Roof","348"
"RCC Roof","35225"
"Thatch/Straw Roof","18023"
"Tile/Slate Roof","31290"
"Wood/Planks Roof","489"
"Total","94693"
