"Population by Mother tongue","Number"
"Bahing",""
"Female","709"
"Male","559"
"Jero/Jerung",""
"Female","240"
"Male","184"
"Limbu",""
"Female","11"
"Male","5"
"Magar",""
"Female","1759"
"Male","1472"
"Maithili",""
"Female","13"
"Male","46"
"Nepali",""
"Female","3835"
"Male","3111"
"Newar",""
"Female","103"
"Male","83"
"Not Reported",""
"Female","26"
"Male","17"
"Others",""
"Female","39"
"Male","36"
"Rai",""
"Female","221"
"Male","201"
"Tamang",""
"Female","726"
"Male","604"
"Tharu",""
"Female","14"
"Male","12"
"Wambule",""
"Female","3780"
"Male","3268"
